NUM,PINYIN,EXPECTED (GROUND TRUTH),QWERTY_model-016-23447,NINE_model-014-21074,SWIFTKEY_QWERTY,SWIFTKEY_NINE,FULL_SCORE,QWERTY_model-016-23447 SCORE,NINE_model-014-21074 SCORE,SWIFTKEY_QWERTY SCORE,SWIFTKEY_NINE SCORE
213,xianzaihaikeyixuankema？,现在还可以选课吗？,现在海可意选课吗？,现在害可一远了吗？,现在还可以选课吗？,现在还可以赚了吗？,9,7,5,9,7
214,zuijinxuexiaoshenghuozenmeyang？,最近学校生活怎么样？,最近学校生活怎么样？,最近学校生活怎么样？,最近学校生活怎么样？,最近学校生活怎么样？,10,10,10,10,10
215,nindadianhuayoushenmeshi？,您打电话有什么事？,您打电话有什么事？,您打电话有什么事？,您打电话有什么事？,您打电话有什么事？,9,9,9,9,9
216,jintianwanshangqudianyingyuan，zenmeyang？,今天晚上去电影院，怎么样？,今天晚上去点影院，怎么样？,今天晚上去电影院，怎么样？,今天晚上去电影院，怎么样？,今天晚上去电影院，怎么样？,13,12,13,13,13
217,zaiwojiayaojuxingpaidui，ninxianglaima？,在我家要举行派对，您想来吗？,在我家药举行派队，您想来吗？,在我家玩旅行排对，您想开吗？,在我家要举行排队，您想来吗？,在我家玩举行排队，您想来拿？,14,12,10,12,10
218,shangnamenkezhiqian，yaoxianshangjichukema？,上那门课之前，要先上基础课吗？,上那们可之前，要先上基础课吗？,上那闷了之前，要着商挤出了吗？,上哪门课之前，要先上基础课吗？,上纳闷了之前，玩笑商家股勒马？,15,13,8,14,5
219,shuodaozaijichangxiafeijile。,说到在机场下飞机了。,说到在机场下飞机了。,说到在机场下飞机了。,说到在机场下飞机了。,说到在机场下飞机了。,10,10,10,10,10
220,wodetizhongbikanqilaiyaozhong。,我的体重比看起来要重。,我的体重必看起来要重。,我的体中爱看起来严重。,我的体重必看起来要中。,我的体重爱看起来严重。,11,10,8,9,9
221,biedeshijianyoumeiyouweizi？,别的时间有没有位子？,别的时间有没有位字？,别的时间有没有唯宜？,别的时间有没有位子？,别的时间有没有位子？,10,9,8,10,10
222,tiaojiushizuinashoudejiweijiushishenme？,调酒师最拿手的鸡尾酒是什么？,条就是最那手的极位就是什么？,天就是最拿手的几位就是什么？,条就是最拿手的鸡尾酒是什么？,天就是最拿手的鸡尾酒是什么？,14,7,8,11,11
223,nimenzherzuishouhuanyingdeshishenme？,你们这儿最受欢迎的是什么？,你们者最受欢迎的是什么？,你们一尔最受欢迎的是什么？,你们这儿最受欢迎的是什么？,你们这儿最受欢迎的是什么？,13,11,11,13,13
224,xiexienin，qianbuyongzhaole。,谢谢您，钱不用找了。,谢谢您，钱不用着了。,谢谢您，少不用笑了。,谢谢您，钱不用找了。,谢谢您，钱不用找了。,10,9,8,10,10
225,bozitengdebunengzhuantou。,脖子疼得不能转头。,脖子特的不能转头。,博子特的不能转头。,脖子疼得不能砖头。,按一疼得不能砖头。,9,7,6,8,6
226,kaoshizhunbeidezenmeyangle？,考试准备得怎么样了？,考试准备的怎么样了？,老师准备的怎么样了？,考试准备得怎么样了？,考试准备得怎么样了？,10,9,7,10,10
227,ninmingbaiwodehuashishenmeyisima？,您明白我的话是什么意思吗？,您明白我的话是什么意思吗？,您明白我的话是什么意思吗？,您明白我的话是什么意思吗？,您明白我的话是什么意思吗？,13,13,13,13,13
228,keyiyongxinyongkafukuanma？,可以用信用卡付款吗？,可以用信用开付款吗？,可以用信用拉杜乱吗？,可以用信用卡付款吗？,可以用信用卡付款吗？,10,9,7,10,10
229,xianbaditanyongxichenqixiyixia。,先把地毯用吸尘器吸一下。,先把地探勇戏臣奇吸一下。,下马被套用已沉妻一一下。,先把地毯用吸尘器洗一下。,先把地毯用吸尘器一一下。,12,7,4,11,11
230,womenkeyizaijianmianma？,我们可以再见面吗？,我们可以再见面吗？,我们可以再见面吗？,我们可以再见面吗？,我们可以再见面吗？,9,9,9,9,9
231,ruguohaimeichufadehua，woxiangquxiaodingcan。,如果还没出发的话，我想取消订餐。,如果海没出发的话，我想去小订餐。,如果该没出罚的话，我想去找顶板。,如果还没出发的话，我想取消订餐。,如果还没出发的话，我想取消订餐。,16,13,10,16,16
232,duibuqi，shiwomendeshiwu，chongxingeininnong。,对不起，是我们的失误，重新给您弄。,对不起，是我们的食物，冲心给您浓。,对不起，是我们的食物，冲信给民浓。,对不起，是我们的食物，重新给您弄。,对不起，是我们的食物，重新给您弄。,17,12,11,15,15
233,nagebisaizhendehenjingcai。,那个比赛真的很精彩。,哪个比赛真的很精彩。,哪个比赛真的很精彩。,那个比赛真的很精彩。,那个比赛真的很精彩。,10,9,9,10,10
234,nagetuoersuobijiaohaone？,哪个托儿所比较好呢？,那个脱尔所比较好呐？,那个托尔去比较好么？,那个托儿所比较好呢？,那个托儿所比较好呢？,10,6,6,9,9
235,shixiangduipingjia，haishijueduipingjia？,是相对评价，还是绝对评价？,是相对评价，海是绝对评价？,是相对平价，该市绝对评价？,是相对评价，还是绝对评价？,是相对评价，还是绝对评价？,13,12,10,13,13
236,haode，shenmeshihouzailai？,好的，什么时候再来？,好的，什么时候再来？,好的，什么时候再来？,好的，什么时候再来？,好的，什么时候再来？,10,10,10,10,10
237,qinglengjingyidian，meishenmedashir。,请冷静一点，没什么大事儿。,请冷静一点，没什么大事日。,平冷静一点，没什么大是热。,请冷静一点，没什么大事儿。,请冷静一点，没什么大事儿。,13,12,10,13,13
238,zhefujinnaryouzizhujiayouzhan？,这附近哪儿有自助加油站？,这附近有自主假油站？,这都里尔有自助假有效？,这附近哪儿有自主加油站？,这附近哪儿有自主加油站？,12,8,5,11,11
239,nizaidaxuelixuedeshenmezhuanye？,你在大学里学的什么专业？,你在大学里学的什么专业？,你在大学集学的什么专业？,你在大学里学的什么专业？,你在大学里学得什么专业？,12,12,11,12,11
240,zhezhongzhengzhuangduochangshijianle？,这种症状多长时间了？,这种症状多长时间了？,这种症状多长时间了？,这种症状多长时间了？,这种症状多长时间了？,10,10,10,10,10
241,zhangfuyinweishiguqushile。,丈夫因为事故去世了。,丈夫因为实故去世了。,丈夫因为事故趋世了。,丈夫因为事故去世了。,想复印为事故去世了。,10,9,9,10,7
242,woxiangbazhipiaohuanchengxianjin。,我想把支票换成现金。,我想把置票还成现进。,我想把至上还成现金。,我想把支票换成现金。,我想把之前换成现金。,10,7,7,10,8
243,danwunintaiduoshijianle，zhenduibuqi。,耽误您太多时间了，真对不起。,但武您太多时间了，针对不起。,但左后比多时间了，针对不起。,耽误您太多时间了，真对不起。,到渔民太多时间了，真对不起。,14,11,9,14,11
244,yishengshuodeizhulianggeyueyuan。,医生说得住两个月院。,医生说给住两个月圆。,医生说非主两个学院。,医生说得住两个月圆。,医生说飞珠江各学院。,10,8,7,9,5
245,zheliyouyishenghuohushima？,这里有医生或护士吗？,这里有医生活忽视吗？,这里有牺生过股事吗？,这里有一生活护士吗？,这里有一生活故事吗？,10,7,6,8,6
246,zhuninjinnianwanshiruyi。,祝您今年万事如意。,祝您今年晚事如意。,祝民今年药示如意。,祝您今年万事如意。,祝您今年万事如意。,9,8,6,9,9
247,haode，wohenkuaijiuzaigenninlianxi。,好的，我很快就再跟您联系。,好的，我很快就再跟您联系。,好的，我很快就在跟敏联系。,好的，我很快就在跟您联系。,好的，我很快就在跟您联系。,13,13,11,12,12
248,zheshixizaoshiyongdedongxi。,这是洗澡时用的东西。,这是戏澡使用的东西。,这是一碗使用的东西。,这是洗澡使用的东西。,这是一玩失踪的东西。,10,8,7,9,6
249,duizhuozhuangyoushenmeyaoqiu？,对着装有什么要求？,对卓装有什么要求？,对准装有什么要求？,对茁壮有什么要求？,对茁壮有什么要求？,9,8,8,7,7
250,qingzaigeiwokankanbiedeyansede。,请再给我看看别的颜色的。,请再给我看看别的颜色的。,请在给我看看车的颜热的。,请再给我看看别的颜色的。,请再给我看看别的颜色的。,12,12,9,12,12
251,ruguokeyidehua，ninnengbunengbawosongdaonar？,如果可以的话，您能不能把我送到那儿？,如果可以的话，您能不能把我送到纳？,如果可以的话，您能不能把我送到哪婆？,如果可以的话，您能不能把握送到哪儿？,如果可以的话，您能不能把握送到哪儿？,18,16,16,16,16
252,zhedaocaideweidaozenmeyang？,这道菜的味道怎么样？,这到彩的味道怎么样？,这道白的味道怎么样？,这道菜的味道怎么样？,这蛋白的味道怎么样？,10,8,9,10,8
253,zheciqizhongkaoshikaozale。,这次期中考试考砸了。,这次其中考试靠杂了。,这比其中老师看牙了。,这次期中考试考砸了。,这次其中考试考砸了。,10,7,4,10,9
254,zoudaonardeiduochangshijian？,走到那儿得多长时间？,走到纳对多长时间？,走到那热底多长时间？,走到哪儿得多长时间？,走到哪儿得多长时间？,10,7,8,9,9
255,nindeyusuandagaishiduoshao？,您的预算大概是多少？,您的预算大概是多少？,您的预权大概是多少？,您的预算大概是多少？,您的物权法还是多少？,10,10,9,10,6
256,qinggeiwoyidiananmianyao。,请给我一点安眠药。,请给我一点按眠药。,请给我一点安眠药。,请给我一点安眠药。,请给我一点安眠药。,9,8,9,9,9
257,zheliwomendiyicilai，qinggeiwomentuijianyixia。,这里我们第一次来，请给我们推荐一下。,这里我们第一次来，请给我们推荐一下。,这里我们第一次来，请给我们推荐一下。,这里我们第一次来，请给我们推荐一下。,这里我们第一次来，请给我们推荐一下。,18,18,18,18,18
258,nihao，zhangmin，shentizenmeyangle？,你好，张民，身体怎么样了？,你好，张敏，身体怎么样了？,你好，想您，身体怎么样了？,你好，张民，身体怎么样了？,你好，向您，身体怎么样了？,13,12,11,13,11
259,zhegejiagewomenbuzhuanqian。,这个价格我们不赚钱。,这个价格我们不赚钱。,这个价格我们不赚钱。,这个价格我们不赚钱。,这个价格我们不赚钱。,10,10,10,10,10
260,yinliaoqinghecaiyiqisongshanglai。,饮料请和菜一起送上来。,饮料情和猜一起送上来。,新恋平和白一起送上来。,饮料清河才一起送上来。,饮料瓶喝彩一起送上来。,11,9,7,8,8
261,wozaizhaoyousangefangjiandefangzi。,我在找有三个房间的房子。,我在找有三个房间的房子。,我在线有三个房间的房子。,我在找有三个房间的房子。,我在现有三个房间的房子。,12,12,11,12,11
262,wofangxuehoushangbuxiban。,我放学后上补习班。,我放学后上不稀班。,我党学后上不一般。,我放学后上补习班。,我放学后上补习班。,9,7,5,9,9
263,biededianmaidegengpianyi。,别的店卖得更便宜。,别的电买的更偏移。,别的电卖的更骗字。,别的店买的更便宜。,别的店买的更便宜。,9,4,5,7,7
264,qinggeiwoyibenluyouzhinan。,请给我一本旅游指南。,请给我一本录油指难。,请给我一本旅有指难。,请给我一本路由指南。,请给我一本局优质男。,10,7,8,8,6
265,haiyougengpianyidepiaoma？,还有更便宜的票吗？,海有更偏逸的票吗？,该油更骗子的钱吗？,还有更便宜的票吗？,还有更便宜的钱吗？,9,6,4,9,8
266,wodehaizishangyoueryuanne。,我的孩子上幼儿园呢。,我的孩子上幼儿园。,我的孩子上幼儿园么。,我的孩子上幼儿园呢。,我的孩子上幼儿园呢。,10,9,9,10,10
267,jinkuaigeinindadianhua。,我尽快给您打电话。,尽快给您打电话。,尽快给您打电话。,尽快给您打电话。,尽快给您打电话。,9,8,8,8,8
268,daowojiazaiheyibeiba。,到我家再喝一杯吧。,到我家在喝一杯吧。,但我家在喝西杯吧。,到我家在喝一杯吧。,到我家在各自被吧。,9,8,6,8,5
269,wobuzhidaozijidechicun。,我不知道自己的尺寸。,我不知道自己的尺寸。,我不知道自己的吃错。,我不知道自己的尺寸。,我不知道自己的尺寸。,10,10,8,10,10
270,kanyihuirshuyanjingjiuhuipilao。,看一会儿书眼睛就会疲劳。,看一会疏眼睛就会疲劳。,老子会二眼睛就会思考。,看一会儿书眼睛就会疲劳。,看一会儿求眼睛就会思考。,12,10,6,12,9
271,a，ninshigemeishijiaa。,啊，您是个美食家啊。,啊，您是个美食家啊。,啊，您是个美时纪吧。,啊，您是个美食家啊。,啊，您适合美食家啊。,10,10,7,10,8
272,wonengzuoshangzhuanchengdefeijima？,我能坐上转乘的飞机吗？,我能做上转程的飞机吗？,我能做上转程的飞机吗？,我能坐上专程的飞机吗？,我能坐上专程的飞机吗？,11,9,9,9,9
273,womeiyoutushuguanhuiyuanka，xiangbanyizhang。,我没有图书馆会员卡，想办一张。,我没有图书馆会员喀，想伴一张。,我没有图书还会远啦，乡抱一想。,我没有图书馆会员卡，相伴一张。,我没有图书馆会员卡，相伴一张。,15,13,9,13,13
274,wazilouleyigedong，qinggeiwofengyixia。,袜子漏了一个洞，请给我缝一下。,袜子漏了一个洞，请给我疯一下。,雅抑漏了以个洞，请给我等一下。,袜子楼了一个洞，请给我疯一下。,呀遗漏可以河东，请给我等一下。,15,14,11,13,8
275,qingnicongxiagexingqikaishishangban。,请你从下个星期开始上班。,请你从下个星期开始上班。,请年从下个型起开始上班。,请你从下个星期开始上班。,请你从下个星期开始上班。,12,12,9,12,12
276,xiamianshuoxiayigezhuti。,下面说下一个主题。,下面说下一个主题。,下面说下一个主题。,下面说下一个主题。,下面说下一个主题。,9,9,9,9,9
277,shiwokanguodedianyingzhongzuihaode。,是我看过的电影中最好的。,是我看过的电影中最好的。,是我看过的电影中最好的。,是我看过的电影中最好的。,是我看过的电影中最好的。,12,12,12,12,12
278,zheliyouyonghuminghemima。,这里有用户名和密码。,这里游用户名和密码。,这里有用户明和密码。,这里有用户名和密码。,这里有用户名和密码。,10,9,9,10,10
279,nirenweizijideyoudianshishenme？,你认为自己的优点是什么？,你认为自己的优点是什么？,你认为自己的优点是什么？,你认为自己的优点是什么？,你认为自己的优点是什么？,12,12,12,12,12
280,a，suoyininlaiwanle。,啊，所以您来晚了。,啊，所以您来晚了。,啊，所以您开晚了。,啊，所以您来玩了。,啊，所以您来玩了。,9,9,8,8,8
281,qinggeiwojifenzhiheyuanzhubi。,请给我记分纸和圆珠笔。,请给我几分配和援主壁。,请给我几分制和选意台。,请给我积分纸盒圆珠笔。,请给我积分纸盒圆珠笔。,11,6,6,9,9
282,qingbayouxibihuanchengxianjin。,请把游戏币换成现金。,请把游戏比换呈现进。,请把又一次换成现金。,请把游戏币换成现金。,请把游戏币换成现金。,10,7,7,10,10
283,namenkeshenmeshihouqizhongkaoshi？,那门课什么时候期中考试？,那门可什么时候其中考试？,那闷了什么时候其中考师？,哪门课什么时候期中考试？,纳闷了什么时候其中老师？,12,10,8,11,6
284,hanguorenzhuyaochimifan。,韩国人主要吃米饭。,韩国人主要吃米饭。,韩国人主要吃米道。,韩国人主要吃米饭。,韩国人主要吃米饭。,9,9,8,9,9
285,duifanghaimeigenwolianxi。,对方还没跟我联系。,对方海没跟我联系。,对方海没跟我联系。,对方还没跟我联系。,对方还没跟我联系。,9,8,8,9,9
286,qinggeiwoyizhangditieluxiantu。,请给我一张地铁路线图。,请给我一张地铁路线图。,请给我一向地铁路线图。,请给我一张地铁路线图。,请给我一向地铁路线图。,11,11,10,11,10
287,haoxiangmeiyouqitayijianle。,好像没有其他意见了。,好象没有其他意见了。,好像没有其他意见了。,好像没有其他意见了。,好像没有其他资料了。,10,9,10,10,8
288,youpijiu，putaojiu，weishiji。,有啤酒，葡萄酒，威士忌。,又啤酒，葡萄酒，为世际。,走其酒，葡萄酒，为世利。,有啤酒，葡萄酒，威士忌。,有啤酒，葡萄酒，威士忌。,12,8,7,12,12
289,qinggeiwojiaoyixiajianduyuan。,请给我叫一下监督员。,请给我交易下监督员。,请给我建系下监督员。,请给我教一下监督员。,请给我聊一下监督员。,10,8,8,9,9
290,nengzaifangjianlidaguojichangtuma？,能在房间里打国际长途吗？,能在房间里大国机场图吗？,能在房间立春国家长涂吗？,能在房间里打国际长途吗？,能在房间里打国际长途吗？,12,8,8,12,12
291,zheshiwoyizhixiangyaode。,这是我一直想要的。,这是我一直想要的。,这是我一直想要的。,这是我一直想要的。,这是我一直想要的。,9,9,9,9,9
292,yeyaozuofuzhongxunlianma？,也要做负重训练吗？,也要做福中训练吗？,也要孕妇中训练吗？,也要做浮肿训练吗？,也要做浮肿训练吗？,9,7,6,7,7
293,huiyideyitishishenme？,会议的议题是什么？,会议的一提是什么？,诡议的追题是什么？,会议的一体式什么？,会议的一体式什么？,9,7,7,6,6
294,wanglecongganxidianquhuilaile。,忘了从干洗店取回来了。,忘了从甘西点去回来了。,忘了从好谢去回来了。,忘了从干洗点去回来了。,忘了从感谢告诉回来了。,11,7,7,9,7
295,en，shenmefangmiandesirenwenti？,嗯，什么方面的私人问题？,是，什么方面的私人问题？,佛，什么方面的私人问题？,嗯，什么方面的私人问题？,嗯，什么方面的私人问题？,12,11,11,12,12
296,qingzhuyitingdaoyoushuohua。,请注意听导游说话。,请注意听到有说话。,请祝一听到有说话。,请注意听到有说话。,请注意听到有说话。,9,7,5,7,7
297,dianxiaocaihaiyaofuqianma？,点小菜还要付钱吗？,典小菜海要福钱吗？,电线才改造付钱吗？,点小菜还要付钱吗？,点咸菜还要付钱吗？,9,6,4,9,8
298,namenkexuyaodaoshidetongyi。,那门课需要导师的同意。,那门可需要导实的统一。,那闷可需要导事的统一。,哪门课需要导师的统一。,纳闷了需要导师的统一。,11,7,6,8,6
299,xianzaiyoujiaowangdepengyouma？,现在有交往的朋友吗？,现在又交往的朋友吗？,现在有交往的朋友吗？,现在有交往的朋友吗？,现在有教养的朋友吗？,10,9,10,10,8
300,xianggenwomendayichangma？,想跟我们打一场吗？,想跟我们打一场吗？,想跟我们打异吗？,想跟我们打一场吗？,想跟我们打异常吗？,9,9,7,9,7
301,ninkanqilaibishijinianlingyaonianqing。,您看起来比实际年龄要年轻。,您看起来比十几年龄药年轻。,您看起来此事几年龄验年轻。,您看起来比实际年龄要年轻。,您看起来比实际年龄要年轻。,13,10,9,13,13
302,meiyou，wochilewudongmian。,没有，我吃了乌冬面。,没有，我吃了毋动棉。,没有，我吃了与东面。,没有，我吃了五冬眠。,没有，我吃了舞动年。,10,7,8,8,7
303,xingqisanlaiwojia，zenmeyang？,星期三来我家，怎么样？,星期三来我家，怎么样？,星期盼来我家，怎么样？,星期三来我家，怎么样？,星期三来我家，怎么样？,11,11,10,11,11
304,qingzainartingyihuir。,请在那儿停一会儿。,请在三听一会日。,请在拿随你一会嗯。,请在哪儿听一会儿。,请在哪儿听一会儿。,9,5,5,7,7
305,haoxiangyiqiedoujieshule。,好像一切都结束了。,好像一切斗结束了。,好像自汽的努结束了。,好像一切都结束了。,好像一切都结束了。,9,8,5,9,9
306,qinggeiwokankanbaoxianshangpin。,请给我看看保险商品。,请给我看看保险商品。,请给我看老板险商品。,请给我看看保险商品。,请给我看看保险商品。,10,10,8,10,10
307,qinggaosuwofuzebumen。,请告诉我负责部门。,请告诉我负责部门。,情告诉我负责不门。,请告诉我负责部门。,请告诉我负责部门。,9,9,7,9,9
308,zuotianwanshangwoheduole。,昨天晚上我喝多了。,昨天晚上我喝多了。,昨天晚上我喝多了。,昨天晚上我喝多了。,昨天晚上我喝多了。,9,9,9,9,9
309,tanfangshijianshishenmeshihou？,探访时间是什么时候？,探访时件是什么时候？,探访时件是什么时候？,探访时间是什么时候？,套房时间是什么时候？,10,9,9,10,8
310,nizhaogeiwodeqianbugou。,你找给我的钱不够。,你找给我的钱不够。,你先给我的钱不够。,你找给我的钱不够。,你献给我的钱不够。,9,9,8,9,8
311,woyaobeikehanmudefaxing。,我要贝克汉姆的发型。,我要贝克汉姆的发型。,我要被克汉姆的发应。,我要贝克汉姆的发型。,我要贝克汉姆的大型。,10,10,8,10,9
312,duibuqi，jintianbuxing。,对不起，今天不行。,对不起，今天不行。,对不起，今天不行。,对不起，今天不行。,对不起，今天不行。,9,9,9,9,9
313,bitongnianjitongxueyaoluohoua。,比同年级同学要落后啊。,比同年级同学要落后啊。,春同年级同学要落后啊。,笔筒年级同学要落后啊。,爱童年里同学要落后啊。,11,11,10,9,8
314,youwomenduidebisai，xiangbuxiangyiqiqu？,有我们队的比赛，想不想一起去？,有我们队的比赛，想不想一起去？,有我们队的比赛，想不想一起去？,有我们对的比赛，想不想一起去？,有我们对的比赛，想不想一起去？,15,15,15,14,14
315,nindeyudingdedaoquerenle。,您的预订得到确认了。,您的预定得到确认了。,您的预定的到确认了。,您的预定得到确认了。,您的预定得到确认了。,10,9,8,9,9
316,shuoshibunengdaishiwujinqu。,说是不能带食物进去。,说是不能带失误进区。,说是不能带始无进区。,说是不能呆是武进区。,说是不能呆是武进区。,10,7,7,6,6
317,andeshihouxiangzhenzhayiyangteng。,按的时候像针扎一样疼。,安的时候想镇扎一扬腾。,安的时后想镇下一样疼。,按得失后向针扎一样疼。,按的时候想针扎一样疼。,11,6,6,7,10
318,zuijinshachehaoxiangbuhaoshile。,最近刹车好像不好使了。,最近刹车好像不好事了。,最近七彩点像不好事了。,最近刹车好像不好事了。,最近刹车好像不好时刻。,11,10,7,10,9
319,zhegeyoulanxiangmuxuyaoduochangshijian？,这个游览项目需要多长时间？,这个又览项目需要多长时间？,这个有老项后需要多长时间？,这个游览项目需要多长时间？,这个游览项目需要多长时间？,13,12,10,13,13
320,xiagexueqiwokeyiruxuema？,下个学期我可以入学吗？,下个学期我可以入学吗？,下个学期我可以去学吗？,下个学期我可以入学吗？,下个月日我可以去学吗？,11,11,10,11,8
321,jiaoshou，woyouyigewenti。,教授，我有一个问题。,教授，我有一个问题。,教守，我有一个问题。,教授，我有一个问题。,教授，我有一个问题。,10,10,9,10,10
322,qubeijingdehuocheshinayige？,去北京的火车是哪一个？,去北京的火车是哪一个？,苏北京的火车是哪资个？,去北京的火车是哪一个？,去北京的火车是哪一个？,11,11,9,11,11
323,ninyuanyihewozaijianmianma？,您愿意和我再见面吗？,您愿意和我在见面吗？,民愿意和我在见面吗？,您愿意和我再见面吗？,您愿意和我外交棉麻？,10,9,8,10,6
324,nishinasuoxuexiaobiyede？,你是哪所学校毕业的？,你是那所学校毕业的？,你是拿所学校毕业的？,你是哪所学校毕业的？,你是哪所学校毕业的？,10,9,9,10,10
325,hanguorenjingchanglaizhejiacanting。,韩国人经常来这家餐厅。,韩国人经常来这家餐厅。,韩国人经常来这家餐厅。,韩国人经常来这家餐厅。,韩国人经常来这家餐厅。,11,11,11,11,11
326,wodeigeiwuyegongsidagedianhuale。,我得给物业公司打个电话了。,我的给物业公司大个电话了。,我飞给物业公司待电话了。,我得给物业公司打个电话了。,我得给物业公司打个电话了。,13,11,10,13,13
327,yaoruanzuo，haishiyingzuo？,要软座，还是硬座？,要软座，海事应做？,完全做，该是幸运？,要软座，还是硬座？,完全做，还是幸运？,9,5,3,9,4
328,qinggaosuwobijiaopianyideluyoufangfa。,请告诉我比较便宜的旅游方法。,请告诉我比较偏逸的路油方法。,情告诉我比较少意的旅有方法。,请告诉我比较便宜的路由方法。,请告诉我比较便宜的旅游方法。,14,10,10,12,14
329,a，woshuozhelishishizhengfuqian。,啊，我说这里是市政府前。,啊，我说这里实施政府钱。,啊，我说这里事事政府片。,啊，我说这里实施政府前。,啊，我说这里实施政府前。,12,9,9,10,10
330,woxiangtiaozhengjiaoyixiane。,我想调整交易限额。,我想跳证交易险恶。,我想天证交一下么。,我想调整教一下呢。,我想调整脸一下呢。,9,5,4,5,5
331,meiyou，wodiyicilai。,没有，我第一次来。,没有，我第一次来。,没有，我第一次来。,没有，我第一次来。,没有，我第一次来。,9,9,9,9,9
332,haiyougenzhegeleisidexinghaoma？,还有跟这个类似的型号吗？,海友跟这个类似的性好吗？,该有跟这个类似的性感吗？,还有跟这个类似的型号吗？,还有很这个蕾丝的性感吗？,12,8,9,12,7
333,nagewozhengzaikanzhene。,那个我正在看着呢。,那个我正在看这恶。,那个我正在看这么。,那个我正在看着呢。,那个我正在看这么。,9,7,7,9,7
334,haode，zhuninjintianyukuai。,好的，祝您今天愉快。,好的，祝您今天愉快。,好的，祝您今天愉快。,好的，祝您今天愉快。,好的，祝您今天愉快。,10,10,10,10,10
335,zhegechanpindebaozhiqibiaoshizainar？,这个产品的保质期标示在哪儿？,这个产品的报纸期表示在那？,这个产品的报纸日表示在哪瑟,这个产品的保质期表示在哪儿？,这个产品的保质期表示在哪儿？,14,9,8,13,13
336,zheluyouluxianhaijingguoxianggangma？,这旅游路线还经过香港吗？,这路又路线海经过香港吗？,这具有路相经过香港吗？,这路由路线还经过香港吗？,这旅游局张爱玲过香港吗？,12,9,8,10,8
337,luduimiandebianlidianlimai。,路对面的便利店里卖。,陆对面的边利电里卖。,略队面的边级点紧币。,路对面的便利店里买。,句对面的超级点击买。,10,7,3,9,4
338,woxiangzuozaiyangtainar。,我想坐在阳台那儿。,我想坐在阳台纳。,我想坐在造怀纳热,我想坐在阳台哪儿。,我想坐在阳台哪儿。,9,7,4,8,8
339,xianzaiguangbolishuoshinayizhan？,现在广播里说是哪一站？,现在广玻璃说是哪一站？,现在挂璃说是那一战？,现在广播里说是哪一站？,现在话面积说是哪一笑？,11,9,6,11,7
340,shide，gentuoersuodexiaopengyoumenwanrdehenhao。,是的，跟托儿所的小朋友们玩儿得很好。,是的，根托尔索的小朋友们玩得很好。,是的，跟托尔索的小朋友们炎热点好。,使得，跟托儿所的小朋友们玩儿得很好。,使得，很托儿所的小朋友们颜色地佛号。,18,14,12,16,10
341,xiexieninsongwozhemehaodeliwu。,谢谢您送我这么好的礼物。,谢谢您送我这么好的礼物。,这些您容我这么好的礼物。,谢谢您送我这么好的礼物。,谢谢您送我这么好的礼物。,12,12,9,12,12
342,qingbawodefangjiandasaoyixia。,请把我的房间打扫一下。,请把我的房间打扫一下。,请把我的房间大盘一下。,请把我的房间打扫一下。,请把我的房间打扰一下。,11,11,9,11,10
343,woyaobutaiyongjideyibian。,我要不太拥挤的一边。,我要不太用记得一遍。,我要不太用理的资产。,我要不太拥挤的一边。,我要不太拥挤的资产。,10,6,6,10,8
344,nenghuanchengkaochuangdeweizima？,能换成靠窗的位子吗？,能换成考床的位子吗？,梦幻成看床的唯一吗？,能换成靠窗的位子吗？,能换成靠窗的唯一吗？,10,8,4,10,8
345,tingshuomingtianyouxiaoceyan。,听说明天有小测验。,听说明天有小测颜。,听说明天又小测验。,听说明天有小测验。,听说明天有小测验。,9,8,8,9,9
346,zhegechanpindebaozhiqishiduochangshijian？,这个产品的保质期是多长时间？,这个产品的报质其实多长时间？,这个产品的报纸死十多长时间？,这个产品的保质期是多长时间？,这个产品的保质期是多长时间？,14,11,10,14,14
347,meigexiaoshidetingchefeishiduoshao？,每个小时的停车费是多少？,每个小时的停车费是多少？,每个小时的停车费是多少？,每个小时的停车费是多少？,每个小时的停车费是多少？,12,12,12,12,12
348,tademeimeiyefeichangpiaoliang。,他的妹妹也非常漂亮。,他的每妹也非常漂亮。,他的妹妹也非常漂亮。,他的妹妹也非常漂亮。,他的妹妹也非常漂亮。,10,9,10,10,10
349,doudeworenbuzhuxiaole。,逗得我忍不住笑了。,逗得我忍不住笑了。,逗得我忍不住笑了。,都得我忍不住笑了。,都得我忍不住找了。,9,9,9,8,7
350,zheshiwodeyidianxinyi。,这是我的一点心意。,这是我的一点信义。,这是我的一点信息。,这是我的一点心意。,这是我的一点心意。,9,7,7,9,9
351,yudingshixuyaoyajinma？,预订时需要押金吗？,与定是需要押进吗？,武丁是需要压力吗？,预定是需要押金吗？,预定是需要押金吗？,9,5,4,7,7
352,wojuedinghetazuopengyoule。,我决定和他做朋友了。,我决定和他做朋友了。,我决定和他做朋友了。,我决定和他做朋友了。,我决定和他做朋友了。,10,10,10,10,10
353,youjihounengjinxingyoujichaxunma？,邮寄后能进行邮寄查询吗？,有机后能进行有级查询吗？,有机构能进行油里查训吗？,有几后能进行有机查询吗？,有机构能进行又稽查做吗？,12,8,6,8,6
354,yihuirzaida，haoma？,一会儿再打，好吗？,一会再大，好吗？,一会嗯在大，好吗？,一会儿再打，号码？,一会儿再打，干嘛？,9,7,6,7,7
